Identificador;Nombres;Apellidos;Edad;E_mail;Ciudad;Juegos;Series;;;;;;;;
1134708498;samuel;gomez;37;samuelgomez@unal.edu.co;tunja;0;1;;;;;1;luis;rodriguez;bogota
1134708499;maria;gomez;39;mariagomez@unal.edu.co;cali;0;1;;;;;2;jose;gomez;medellin
1134708500;nicolas;sanchez;25;nicolassanchez@unal.edu.co;villavicencio;0;1;;;;;3;carlos;gonzalez;cali
1134708501;luz;garcia;27;luzgarcia@unal.edu.co;bogota;0;1;;;;;4;juan;martinez;cartagena
1134708502;luis;rodriguez;19;luisrodriguez@unal.edu.co;medellin;0;1;;;;;5;santiago;garcia;bucaramanga
1134708503;maria;rodriguez;41;mariarodriguez@unal.edu.co;bucaramanga;0;1;;;;;6;sebastian;ramirez;villavicencio
1134708504;daniela;rojas;21;danielarojas@unal.edu.co;barranquilla;0;1;;;;;7;alejandro;lopez;barranquilla
1134708505;alejandro;ramirez;30;alejandroramirez@unal.edu.co;manizales;0;1;;;;;8;nicolas;sanchez;manizales
1134708506;nicolas;rojas;33;nicolasrojas@unal.edu.co;cartagena;0;1;;;;;9;samuel;hernandez;popayan
1134708507;luisa;lopez;39;luisalopez@unal.edu.co;cartagena;0;1;;;;;10;pedro;diaz;tunja
1134708508;milena;ruiz;19;milenaruiz@unal.edu.co;popayan;0;1;;;;;11;maria;perez;
1134708509;luis;sanchez;25;luissanchez@unal.edu.co;bucaramanga;0;1;;;;;12;luz;torres;
1134708510;luz;garcia;17;luzgarcia@unal.edu.co;tunja;0;1;;;;;13;ana;rojas;
1134708511;sandra;castro;22;sandracastro@unal.edu.co;manizales;0;1;;;;;14;marina;vargas;
1134708512;luisa;rodriguez;36;luisarodriguez@unal.edu.co;manizales;0;1;;;;;15;sandra;moreno;
1134708513;santiago;lopez;34;santiagolopez@unal.edu.co;cali;0;1;;;;;16;milena;gutierrez;
1134708514;nicolas;ortiz;33;nicolasortiz@unal.edu.co;bucaramanga;0;1;;;;;17;daniela;jimenez;
1134708515;ana;jimenez;41;anajimenez@unal.edu.co;bucaramanga;0;1;;;;;18;susana;castro;
